ISBN           Title                                    Ed  Author(s)                                     Year  Price   
1123894507260  Understanding Java Security               2  Irene Lee                                     2013   77.90
4538835467640  Game Fundamentals                         3  Harry Ross                                    2006   76.71
8458734673430  Java Concepts                             2  Harry Patterson                               1997   58.77
8208386970980  Introduction to Secure Security           1  Jenny Null                                    1997   22.98
2698881835890  Computer Principles                       5  Alice Silberschatz & Bob Quicksilver          2009   45.14
2719563353566  Java Fundamentals                         7  Charlie Null & David Ross                     1999   88.45
4026306932955  Game Fundamentals                         8  Gerry Null                                    1995   49.53
2305894030615  Hacking Hardware Principles               2  Alice Null                                    1996   16.50
5928771033979  Computer Basics                           2  Jenny Null & Frank Lee                        2016   35.46
9440363104454  Developing Database Fundamentals          5  Gerry Patterson                               2014   14.94
2121628148293  Database Principles                       7  Gerry Kurose & Bob Null                       1995   35.40
0951883078655  Advanced Java Concepts                    1  Gerry Miller                                  2002   98.01
6952099903047  Mastering Database Principles             7  Jenny Lee                                     2007   47.54
8744591082285  Introduction to Computer Concepts         8  Frank Null                                    2008   12.14
2107137510014  Mastering Game Fundamentals               1  Alice Tanenbaum & Bob Lee                     2011   30.23
4253404100720  Java Fundamentals                         6  Eve Tanenbaum                                 2008   76.51
7611857630424  Advanced Java Problems                    7  Harry Silberschatz & Charlie O'Reilly         2008    9.62
5171188485054  C++ Problems                              3  Alice Ross                                    2010   74.45
1142854475504  Game Principles                           7  Jenny Tanenbaum & Jenny Ross                  1991   59.45
8979694432607  Diving into Operating Basics              9  Gerry Patterson                               1995   17.23
1273945576005  Secure Problems                           9  Jenny Null                                    1997   41.58
4733890535452  Mastering Java Concepts                   9  Gerry Kurose                                  2002   76.81
2937308410102  Advanced Web Basics                       4  Alice Tanenbaum                               1997   76.24
5323717184281  C++ Fundamentals                          2  Alice Lee & Irene Lee                         1990   57.68
2344219451165  Advanced Web Problems                     2  Irene Patterson                               2009   24.12
4672752875132  Hardware Problems                         2  Harry Ross & David Ross                       2015   68.50
8961841563019  C++ Problems                              4  Irene Null                                    2011   92.51
8175107998263  Java Problems                             4  Irene Silberschatz & Irene O'Reilly           2004    9.34
3824136657160  Hardware Problems                         1  David Patterson & Jenny O'Reilly              1998   62.97
0779723781182  Web Systems                               4  Jenny Tanenbaum & Alice Silberschatz          1991   41.59
3367664648914  Diving into Web Fundamentals              7  Harry Patterson                               2008   66.79
5409290820106  Database Concepts                         1  Alice Ross & Harry O'Reilly                   2004   19.33
7289863580013  Developing C++ Problems                   9  Charlie Silberschatz & Alice Miller           2003   56.93
6130069093686  Database Problems                         7  Charlie Silberschatz & Charlie O'Reilly       1995   83.13
1590023327094  Java Networks                             1  Charlie Null                                  1999   70.25
9671493869104  Java Concepts                             9  Charlie Ross                                  2015   51.72
1241619841303  C++ Basics                                6  David Lee & David Null                        1993   31.02
8317761325693  Developing Python Principles              4  Gerry Tanenbaum                               1990   31.18
5635795625072  Web Concepts                              5  Charlie Patterson                             2014   62.21
8866279696300  Python Principles                         6  Bob Kurose & Harry Patterson                  1994   99.58
4899827103453  Web Concepts                              4  Bob Silberschatz                              2013   19.13
2884286409452  Game Concepts                             3  Harry Kurose & Charlie O'Reilly               2012   49.55
9780078943347  Java Problems                             5  Gerry Quicksilver & Irene Ross                1990   80.82
5687549964943  Developing Database Basics                7  David Tanenbaum                               1998   15.99
9124929195099  C++ Networks                              5  Eve Kurose & Charlie Lee                      1996   87.60
3362449136698  Developing Computer Fundamentals          2  Eve Miller & Eve Null                         2016   65.15
8392273458611  Understanding Operating Principles        2  Alice Miller & Eve Quicksilver                1994   67.80
3924181169817  Diving into Game Networks                 8  Bob Miller                                    1999   90.77
8238426814804  Diving into Web Networks                  6  Charlie Patterson & Bob Tanenbaum             2015   47.35
2965860378876  Database Security                         7  Alice O'Reilly & Bob Quicksilver              2011   47.90
0114148872322  Database Systems                          4  Frank Miller                                  1991   73.45
7865178385883  Operating Networks                        5  David Ross & Gerry Silberschatz               1999   41.16
3015020886584  Java Problems                             4  Bob Tanenbaum & Bob Lee                       2012   63.62
3175481683558  Developing Hardware Systems               3  Eve Lee                                       2000   27.04
5243482066542  Introduction to C++ Systems               7  David Miller & Gerry Quicksilver              2008   44.65
8877151453592  Diving into Secure Networks               5  Harry Miller                                  2014    6.95
8932295795631  C++ Principles                            4  Charlie Ross & Charlie Ross                   1992   49.74
6044832887900  Database Networks                         9  Bob Lee & Jenny Silberschatz                  2002   10.74
0604724077017  Secure Problems                           3  Alice O'Reilly & Alice Quicksilver            1999   50.05
2448185409537  Database Concepts                         7  David Silberschatz & Gerry Tanenbaum          2003   54.57
1540249362920  Diving into Python Fundamentals           6  David Miller                                  2010   92.62
3969863699998  Game Principles                           2  Alice O'Reilly & Eve Quicksilver              2011   76.33
9521537188077  Python Problems                           7  Charlie O'Reilly                              2004   38.49
6438548021389  Hardware Problems                         9  Alice Quicksilver                             1990   68.36
4476941535649  Python Security                           2  Harry Patterson & Frank Lee                   2011   87.15
2982611262038  Developing Java Problems                  6  David Silberschatz                            1998   64.88
3080260025375  Mastering Web Security                    9  Bob Patterson                                 2005   99.51
3448857611051  Diving into Computer Principles           7  David Lee                                     2012    4.10
5719164661632  Web Systems                               6  Charlie Miller                                2015   34.04
4167322030473  Java Basics                               3  Irene Kurose                                  2002   30.81
7637605674619  Introduction to Secure Security           3  Eve Null                                      2011   97.37
3216941415938  Web Systems                               5  Harry Miller & Harry Tanenbaum                2007   80.93
5567892245505  Understanding Java Principles             6  Alice O'Reilly                                1998   66.09
0342276045555  Advanced Game Systems                     1  Irene Ross & Irene Tanenbaum                  2015   80.37
4397429171859  Web Networks                              5  Alice Lee                                     2017   48.36
2024172811370  Mastering Operating Networks              8  Alice Quicksilver & David Tanenbaum           2013   13.19
8050342741032  Hacking Operating Principles              4  Harry Tanenbaum & David Tanenbaum             2003   23.87
5672430310295  C++ Networks                              8  Irene Miller                                  2016   97.04
5739678987917  Introduction to Python Security           5  David Lee & Jenny Patterson                   2001   95.34
9932358092699  Diving into Operating Basics              9  Irene Tanenbaum                               1991   94.57
2147194610683  Web Concepts                              4  Irene O'Reilly                                1994    1.43
4655201462042  C++ Security                              6  David Lee                                     1993   80.61
5233219392658  Diving into Database Principles           6  Gerry Ross                                    1998   58.48
2692633003752  Diving into Secure Networks               3  Frank Patterson & Alice Patterson             2018   94.08
3076451557516  Hacking Python Concepts                   6  Harry Silberschatz                            2010   79.85
3310739949080  Hacking Java Concepts                     9  Harry Kurose                                  1991   30.82
7719652708014  Developing Operating Concepts             4  Jenny Quicksilver                             2017   71.44
3897230560901  Operating Networks                        9  Irene Kurose                                  1998   14.45
4001079172153  Hacking Game Fundamentals                 4  Eve Ross & David O'Reilly                     2015    5.41
1544697914927  Diving into Database Problems             5  Jenny Miller                                  1997    1.11
0355602592128  Understanding Python Systems              7  Bob Lee & Charlie Kurose                      1994   77.09
4044961674589  Introduction to Java Principles           6  Eve Silberschatz & Harry Ross                 2015   34.83
2401846973392  Python Networks                           9  Harry Null & Jenny Silberschatz               1993    4.77
5219348032368  Mastering Web Security                    6  David Kurose & Irene Silberschatz             2016    3.35
8610563385772  Mastering Python Security                 8  Eve Tanenbaum                                 1998   47.75
1665696106184  Hardware Problems                         1  Eve Ross & Harry Lee                          2012   84.78
0799018587262  Database Fundamentals                     8  Gerry Ross                                    2018   59.55
0800708140858  Database Basics                           9  Eve Null                                      2001   74.81
7313380796971  Hardware Concepts                         9  Irene Ross                                    2001   99.88
7184497873868  Hacking Hardware Basics                   7  Jenny Patterson & David Lee                   2011   94.91
5692035935027  Secure Systems                            8  Eve O'Reilly & Gerry Miller                   2015   32.11
0721480930721  Developing Game Concepts                  8  Frank Miller                                  1997   92.79
5210328658293  Diving into Web Concepts                  5  Harry Miller                                  2014    2.69
0912842733952  Introduction to C++ Problems              7  Alice Ross                                    1999   51.93
9434799157849  Introduction to Web Networks              5  Charlie Kurose                                2011   46.61
5201962956634  Secure Security                           7  Eve Quicksilver                               2005   16.79
0513692731761  Hardware Problems                         2  Irene Quicksilver                             2018   34.53
9780474001127  Hacking Computer Basics                   8  Alice Quicksilver                             1999   53.00
3629206547549  Advanced Game Principles                  1  Harry Quicksilver & Frank Lee                 1991    6.15
1556800553493  Developing Hardware Principles            1  Gerry Quicksilver & Alice Miller              2015   73.94
1235067214650  Introduction to Python Systems            7  Bob Quicksilver                               1993   76.09
1559897818985  Mastering C++ Fundamentals                9  David Kurose                                  1998   93.69
8930650763100  Secure Concepts                           7  Eve O'Reilly                                  2007   13.23
9626732206141  Mastering Web Concepts                    8  Harry O'Reilly & Frank Silberschatz           2010   30.22
0730448483403  Web Concepts                              3  Harry Quicksilver                             2018   47.56
3812857093476  Database Basics                           6  Jenny Kurose                                  2001   43.77
7222535273491  Diving into Game Systems                  3  Eve Kurose                                    2007   78.88
6275313916639  Mastering Web Systems                     5  Bob Kurose & Charlie Ross                     2011   24.37
9875184106167  Operating Problems                        7  Alice Silberschatz & Irene Patterson          2017   31.90
4033842094600  Developing Hardware Basics                8  Gerry Patterson                               2008   63.79
3336348648040  Mastering C++ Networks                    2  Eve O'Reilly & Gerry Miller                   2001   45.07
9194566434966  Understanding Java Fundamentals           8  Alice Quicksilver                             1996   88.45
9043523217870  Understanding C++ Security                4  Bob Silberschatz                              2010   48.19
0247629359165  Advanced Java Security                    6  Eve Lee & Charlie Null                        2017   19.86
0922373701459  Introduction to Secure Basics             1  Eve Silberschatz                              2017   89.93
2620209551724  Developing Game Security                  1  Frank Lee & Charlie Quicksilver               1998   90.11
8535726148237  Computer Problems                         1  Jenny Silberschatz & Bob Lee                  1993   40.45
9107800565822  Diving into Computer Security             8  Irene Silberschatz & Charlie Lee              1995   81.71
1620008400001  Python Principles                         4  Eve Miller & Alice Quicksilver                2007   87.08
9326129849310  Hardware Principles                       1  Harry Miller & Eve O'Reilly                   2009   19.72
3125941678668  Database Basics                           3  David O'Reilly                                2000   86.04
1465644372818  Introduction to Java Problems             4  Harry Null & Eve Lee                          1990   79.64
3406777202296  Computer Systems                          5  Irene Patterson & David Quicksilver           2007   42.04
3931171357817  Secure Problems                           5  Bob Ross & Alice Ross                         1990   37.12
9322538335489  Introduction to Python Principles         7  Irene Null & Irene Kurose                     1997   94.86
8875013392499  Introduction to Python Security           9  Bob O'Reilly & Harry Patterson                2011   90.30
6125009381420  Web Concepts                              6  Bob Kurose & Gerry Miller                     2009   36.30
5527363524545  Understanding C++ Networks                1  Charlie Miller & Frank Silberschatz           2007   41.93
0044591911274  Operating Principles                      3  Eve Miller                                    2016   91.08
5869857968485  Diving into Web Problems                  9  Frank Silberschatz & Alice Lee                2017   57.57
6775472614122  Developing Operating Basics               4  Irene Miller & Gerry Tanenbaum                2013   92.62
5485148066619  Mastering Operating Security              6  Alice O'Reilly & David O'Reilly               2009   26.55
2206206919788  Understanding Secure Systems              5  Jenny Ross & Frank Tanenbaum                  2017   53.70
7322085234036  Introduction to C++ Networks              5  Charlie Miller & Frank Quicksilver            1994   95.94
0403892241830  Python Concepts                           1  Eve Lee & Alice Quicksilver                   2001   94.98
8321516578599  Java Problems                             2  Eve Ross & Harry Tanenbaum                    1993   71.37
0042718186921  Hacking Java Concepts                     7  Charlie Ross & Charlie Miller                 2003   77.50
3571288259533  C++ Networks                              7  Charlie Patterson                             2013   84.06
9724460503377  Java Basics                               9  Frank Silberschatz                            2012   19.69
2834589605361  Game Systems                              3  Irene Lee                                     1995   63.65
8105636021587  Secure Principles                         6  Charlie Tanenbaum                             2010   31.58
8804406622274  Mastering Java Fundamentals               8  Gerry O'Reilly & Gerry Kurose                 2010   34.19
6711247086773  Game Concepts                             8  Irene Tanenbaum & David Silberschatz          2012   36.01
8322434477097  Game Systems                              9  David Kurose & Alice Tanenbaum                2000   18.25
9515853040754  Secure Security                           7  Irene Quicksilver                             2010   31.93
5866906667377  Game Fundamentals                         1  Alice Lee & Eve Lee                           1995   75.66
8772949280756  Mastering Operating Principles            2  Irene Null                                    2017   57.53
9591909087849  Hacking C++ Security                      1  Alice Lee & Alice Lee                         2005   34.22
1057378476981  Advanced Python Networks                  8  David Kurose                                  2001   62.57
6289524532937  Introduction to Database Systems          6  Jenny Kurose & Jenny O'Reilly                 2010   83.53
8855696585056  Secure Concepts                           5  Harry Tanenbaum & Alice Tanenbaum             2018   91.10
8946020651257  Database Networks                         8  Gerry Silberschatz                            2011   81.09
9022562450530  Diving into C++ Security                  9  Frank Lee & Harry Patterson                   1997   73.72
7856114596697  Computer Security                         2  Harry Kurose & Alice Lee                      2013   40.17
4946989284865  Web Basics                                6  Irene Silberschatz                            2015    0.80
4246667318841  Web Principles                            9  Charlie Silberschatz                          2001   79.81
6077549245112  Advanced Operating Networks               2  Eve Tanenbaum & Alice Null                    2017   89.09
7912324500780  Computer Problems                         2  Harry Kurose & David Kurose                   2010   26.85
4935289171435  Introduction to Operating Networks        2  Harry Quicksilver & Frank Patterson           2002   24.32
7612885695779  C++ Security                              4  Frank Patterson                               2007   28.10
4586561895721  Introduction to Web Systems               6  Irene Silberschatz & Bob Null                 2018   30.92
6577256097319  Database Fundamentals                     1  Jenny Ross & Irene Lee                        2018   70.12
6457192898005  Developing C++ Networks                   2  Harry Null & Eve Tanenbaum                    2016    3.04
4834812580795  Secure Principles                         3  Harry Quicksilver & Charlie Kurose            1991   74.35
3084427791697  C++ Fundamentals                          6  Alice Kurose                                  1997   74.64
4553111178205  Web Fundamentals                          5  Bob O'Reilly & Irene O'Reilly                 2006   21.63
0390154846400  Database Basics                           4  Gerry Kurose                                  1995   42.71
4943452505666  Developing Game Networks                  3  Harry Kurose                                  2013   57.40
4605671424919  Advanced Hardware Systems                 9  Gerry Ross                                    2010   52.55
5979450885068  Computer Concepts                         9  Gerry Tanenbaum & Bob Null                    1993    2.55
0998382139073  Computer Basics                           4  Gerry Miller                                  1999   69.67
6200498640903  Java Principles                           2  Irene O'Reilly                                2000   20.37
5506510026748  Understanding Game Basics                 9  Jenny Ross & Bob Miller                       2005    9.81
1362490378263  Introduction to Java Security             7  Irene Miller & Harry Miller                   2011   85.81
7731371783587  Hacking C++ Fundamentals                  6  Harry Patterson                               2017   60.08
3016059362539  C++ Fundamentals                          2  David O'Reilly & Jenny Miller                 1994   48.26
1633485488954  Developing Operating Problems             8  Bob O'Reilly                                  1997   63.86
5146365471029  Game Concepts                             7  Charlie Tanenbaum & Irene Kurose              2010   17.43
8548438320174  Java Concepts                             5  Eve Miller                                    1991   14.56
8839309614106  Hardware Security                         6  Charlie O'Reilly & Bob O'Reilly               1993   26.23
8442244811808  Hardware Systems                          9  Charlie O'Reilly & Charlie Patterson          1990   34.06
5398393010825  Hardware Problems                         2  Bob Lee & Harry Lee                           2004   34.72
5866139450983  Hardware Basics                           4  Charlie Patterson                             2010    8.07
2949575071941  Understanding C++ Networks                6  Charlie Kurose                                1993   39.94
1637371557242  Hacking Computer Security                 4  Eve Silberschatz                              1998   26.43
5820307823652  Python Problems                           1  Charlie Silberschatz & Bob Lee                1994   87.79
9242736573265  Mastering Secure Basics                   2  Harry Tanenbaum & Gerry Null                  2013   20.00
5881371546891  Advanced C++ Basics                       6  Bob Patterson                                 1992    9.41
6336551501837  Developing Java Principles                3  Charlie Tanenbaum & David Lee                 1995   43.94
4030956343046  Advanced Secure Principles                6  Eve Quicksilver & Gerry Quicksilver           1994   17.77
5511788158431  Game Security                             8  Alice Miller & Frank Miller                   2016   73.33
0381288465610  Understanding Game Concepts               7  Frank Miller                                  2007   60.78
6839724695741  Web Systems                               2  Charlie Tanenbaum & Frank Patterson           1995    1.08
3339169407322  Java Systems                              6  Frank Tanenbaum                               2008   86.01
1533074664496  Understanding Database Basics             8  Gerry Ross & Harry Silberschatz               2011   99.21
4321368133982  Web Problems                              9  Alice Silberschatz & Gerry Quicksilver        1996   95.12
2213244832744  Understanding Java Concepts               1  Jenny Tanenbaum & Irene Ross                  2007   11.57
2932664564545  Game Fundamentals                         2  Jenny Lee                                     1995   98.34
7463593213912  Computer Networks                         3  Harry Kurose & Harry Ross                     1995   88.36
9836744435552  Computer Concepts                         5  Alice Patterson                               2012   43.45
7229178136047  Hardware Concepts                         9  Harry Tanenbaum                               2013   66.28
4110565712632  Hacking Computer Basics                   5  Charlie Miller & Bob Quicksilver              2009    8.24
5415837296024  Hardware Security                         9  Irene Lee & David Ross                        2012   37.45
6429106915888  Database Principles                       3  Irene Quicksilver                             2005    5.04
5466631565438  Introduction to Java Networks             3  Frank Lee                                     1997   75.07
0511100266128  Introduction to Database Security         7  Harry Quicksilver & Jenny Kurose              2011   13.26
4603061073276  C++ Principles                            6  Frank Kurose & Gerry Kurose                   2001   23.28
0225247852884  Understanding C++ Problems                7  Jenny Ross                                    2005   49.82
8544486598592  Operating Security                        5  Frank Ross                                    2000   11.78
5238476018092  Game Problems                             5  Bob Patterson                                 1990    1.06
0282108170803  Understanding Database Security           6  Gerry O'Reilly & Bob Lee                      2001   16.64
4691317715113  Python Basics                             5  Frank Quicksilver                             1996   89.41
8466298577768  Game Networks                             5  Gerry Ross & Alice Tanenbaum                  1998   65.06
1978042512196  Mastering C++ Problems                    9  Jenny Ross                                    2001   37.94
3521581540565  Developing Game Networks                  2  Bob O'Reilly                                  2014   66.48
1892554089069  Computer Security                         5  Irene O'Reilly                                2009   45.88
7134525160565  Secure Fundamentals                       3  Irene Ross                                    1993   72.46
3945995321823  Hardware Fundamentals                     6  Eve Ross & Alice Kurose                       2006    2.22
5267796661249  Java Systems                              3  Gerry Null & Bob Ross                         2011   93.37
0584975037486  Operating Problems                        8  Alice Lee & Harry O'Reilly                    1990   98.43
6035495557229  Operating Systems                         5  Charlie Miller & Alice Lee                    1991   12.54
4526197238627  Introduction to Operating Basics          5  Harry Null                                    2006   10.73
4802953595020  Hardware Security                         5  Frank Null & Charlie Quicksilver              2002   78.21
0444665843850  Developing Java Concepts                  2  Jenny Miller & Gerry Patterson                2001   51.65
4045431561198  Developing Operating Security             8  Eve Patterson                                 2015   57.58
0096426333546  Diving into Database Fundamentals         2  Eve Kurose & Jenny Tanenbaum                  1998   65.67
9774096327137  Advanced Web Systems                      2  David Silberschatz & Eve Patterson            2014   35.10
1224118306155  Introduction to Database Networks         6  Irene Null & Charlie Tanenbaum                2017   15.66
8974640246765  Hardware Systems                          9  Charlie O'Reilly                              2013   16.63
6338400226152  Database Basics                           2  David Patterson & Alice Kurose                1999   21.22
5658180907890  Understanding Hardware Concepts           4  Frank Patterson & David Tanenbaum             2008   63.85
2201014436262  Diving into Game Fundamentals             4  Jenny Kurose & Irene Miller                   2008   61.66
7690289230297  C++ Networks                              1  Frank Miller & Alice Patterson                2002   28.35
8492008503716  Advanced Web Problems                     5  Harry Kurose                                  1993   95.30
5582348297282  C++ Basics                                3  Bob Patterson & Harry Miller                  2013   72.88
4215473516058  Operating Principles                      7  Harry Miller & Eve Null                       1999   55.09
8160819769919  Understanding C++ Principles              4  Alice Lee & Gerry Quicksilver                 2001    4.10
7479254847641  Diving into Hardware Fundamentals         7  Gerry Miller                                  2018   51.14
8961540001611  Computer Networks                         1  Harry O'Reilly & David Tanenbaum              1993   43.26
4951188613125  Web Problems                              8  Harry Patterson                               2008   63.17
9247402685640  Computer Problems                         7  Alice O'Reilly & Eve Lee                      2015   65.15
2779902058110  Database Systems                          8  David Patterson & Gerry Miller                2017   84.05
7064029863400  Understanding Python Concepts             6  Frank Patterson                               2003   96.02
8538768920583  Advanced Python Networks                  7  Harry Ross & Charlie Ross                     1990    6.98
9916007395597  Java Principles                           2  Charlie Kurose & Harry Ross                   2008   19.99
6382941709794  Understanding C++ Networks                6  Frank Tanenbaum & Irene Lee                   2010   46.16
5190739571922  Computer Principles                       9  Jenny Quicksilver & Jenny Patterson           2001   75.43
4824551651701  Advanced Web Networks                     7  Bob O'Reilly & Harry Silberschatz             1994   55.70
2766597290468  Hacking Java Networks                     8  Frank Ross                                    1994   61.48
0239696808253  Diving into Hardware Fundamentals         8  Jenny Quicksilver                             2010   95.04
2148919886656  Developing Secure Systems                 6  Eve Null & David Tanenbaum                    2012   59.04
7475014213490  Developing Hardware Problems              9  Bob Kurose & Frank Silberschatz               2018   89.36
7364131740944  Hacking Game Security                     3  Gerry Tanenbaum & Jenny Miller                2013   82.06
2101405207799  Secure Networks                           4  David Lee & Bob Lee                           2010   79.27
2403224365377  C++ Problems                              5  Eve Patterson                                 2012   31.49
6723225000612  Mastering Java Fundamentals               5  Eve Lee                                       2013   72.37
3810403388594  Computer Security                         1  Charlie Ross                                  2015   91.80
7525257400184  Developing Python Principles              9  David Quicksilver                             2011   30.37
3938448482718  Operating Problems                        4  Jenny Quicksilver                             2015   85.19
6165332816543  Hacking Python Security                   5  Harry Kurose                                  1992   42.18
5567960860784  Hacking Web Networks                      5  Jenny Silberschatz & Frank O'Reilly           1994   79.21
4134346805710  Secure Problems                           7  Gerry Miller & Irene Lee                      1990    0.88
4101197634970  Diving into Database Systems              9  Alice Lee & David Quicksilver                 2016   24.54
4099249759197  Hacking Secure Security                   6  Frank Lee & Charlie Patterson                 1996   85.05
8396755668322  Secure Basics                             7  David Ross                                    1996   47.33
2198110663010  Java Security                             7  David Silberschatz                            2018   58.86
0053799580807  Developing Operating Problems             4  Alice Quicksilver                             2003   40.76
0994550780233  Advanced C++ Security                     8  Eve Patterson                                 2011   45.50
2775483757684  Hardware Concepts                         7  Bob Lee                                       2002   95.41
9291921406637  Developing C++ Problems                   6  Jenny O'Reilly & Frank Miller                 2012   19.65
1549265398375  Operating Principles                      5  Frank Silberschatz & Alice Null               1997   42.19
0879076508428  Advanced Hardware Security                8  Irene Patterson                               2003   92.05
7848203981790  Hardware Concepts                         9  Eve Kurose                                    1993   73.84
5024043230583  Hardware Systems                          1  Harry Quicksilver & Alice Lee                 2012   47.53
1838008719188  Introduction to Secure Security           8  Charlie Miller                                2008   72.06
2741127094963  Understanding C++ Principles              1  Charlie Kurose & Gerry Null                   1992   15.31
8869019458647  Operating Security                        2  Irene O'Reilly                                2007   25.46
3771258867180  Secure Networks                           5  Bob Silberschatz                              1991   68.82
5479118860930  C++ Fundamentals                          5  Frank Ross & Irene Lee                        2014   70.01
4677177018081  Diving into Secure Problems               2  David Ross                                    2009   19.97
5274381893632  Computer Fundamentals                     4  Irene Lee                                     2011   18.96
4190939687974  Mastering Operating Fundamentals          3  David Lee & Jenny O'Reilly                    1990   15.40
4366076074331  Java Networks                             3  Charlie Ross & Frank Patterson                1997   61.93
4911600846172  Operating Security                        2  Eve Kurose & Charlie Quicksilver              1998   83.20
6168536584248  Operating Problems                        9  Frank Miller & Eve Miller                     2010   71.34
5615370054276  Hacking Computer Systems                  3  Jenny Quicksilver                             2003   85.04
5261793674149  Introduction to Database Principles       9  Frank Lee                                     1996    5.27
9800956143114  Secure Basics                             7  David Silberschatz & Eve Miller               1994   83.39
9741248562986  Developing Hardware Fundamentals          1  Frank Null                                    2002   98.60
2679504437853  Introduction to Computer Problems         8  Gerry Silberschatz                            2014   14.45
8477636879340  Hacking Python Systems                    8  David Ross                                    1996   63.46
5370054041620  Introduction to Game Fundamentals         6  Jenny O'Reilly                                1991   67.95
1711918843989  Introduction to Secure Security           1  Frank Kurose & David Tanenbaum                2006   54.70
1815521402922  Hacking Web Systems                       5  Charlie Patterson                             2002   35.29
0336162732225  Diving into Operating Systems             1  Harry Patterson & Bob Kurose                  1992   38.06
5679975319783  Secure Basics                             3  Bob Patterson                                 2005   66.43
8785114634341  Web Fundamentals                          3  Harry Silberschatz                            1996   38.04
3584744034366  Java Principles                           6  David O'Reilly & Frank Miller                 2017   73.17
1546008528768  Mastering C++ Principles                  7  Irene Miller                                  2009   90.95
3334366494544  Mastering Database Systems                4  Alice Kurose                                  2006   58.15
7400687294838  Secure Concepts                           3  Bob Quicksilver & Frank Tanenbaum             2017   85.44
8297442091192  Operating Concepts                        9  Jenny Patterson & Alice Null                  2013   77.47
5600917110357  Web Security                              5  Charlie O'Reilly                              2018   33.43
7809790148989  Hacking Database Concepts                 5  Gerry Silberschatz & David Lee                2001   15.63
0778079359226  Understanding Secure Security             5  Alice Silberschatz & Bob O'Reilly             1991   84.73
2356561710218  Java Systems                              4  Alice Ross                                    2004   36.45
9160930084464  Advanced Computer Principles              3  Charlie Silberschatz                          2007   77.69
9463219889702  Database Basics                           6  Alice Silberschatz & Eve Kurose               2007   60.07
6023109946172  Java Principles                           1  Charlie Miller & Eve O'Reilly                 2013   68.36
9870246331118  Game Networks                             8  Jenny Null & Eve Ross                         2001   29.70
4024071604992  Diving into Operating Systems             8  David Ross                                    1995   48.46
3442096334451  Operating Principles                      7  Irene Miller & Bob Null                       1996   94.62
3918481960207  Diving into Python Systems                4  Irene Silberschatz                            1998   57.67
7812645460398  Game Basics                               2  Eve Miller & David O'Reilly                   2009   60.79
0502241609835  Python Principles                         2  Frank Patterson & Charlie Null                1991   24.19
2253102570715  Advanced Web Security                     2  Irene Patterson & Frank Lee                   2015   17.29
7490704806583  Java Problems                             1  Eve Silberschatz                              2005   13.04
6521629755680  C++ Basics                                4  Charlie Lee & Frank O'Reilly                  2006   17.16
3995591134656  Advanced Python Principles                8  Eve Patterson                                 2002   27.37
1155896226921  Java Security                             7  Gerry Ross & Bob Null                         1993   12.49
0241751980617  C++ Fundamentals                          5  Irene Miller & Bob Silberschatz               2001    7.97
8126882862467  Web Problems                              3  Alice Miller                                  2006   28.61
3265509201126  Hacking Hardware Fundamentals             3  Frank Tanenbaum                               1998   64.33
9839573996875  C++ Problems                              1  Charlie Miller & Bob Miller                   2003   65.19
7351040257290  Hacking Hardware Networks                 1  Gerry O'Reilly                                1993   28.71
1140496351668  Introduction to Python Networks           1  Harry Quicksilver                             2012   89.31
4959067841629  Java Systems                              2  Harry Null & Eve Patterson                    2007   67.08
2812877232991  Diving into Database Concepts             3  Alice Patterson & David Quicksilver           1993   89.36
3015396712256  Introduction to Java Problems             5  Gerry Null & Eve Tanenbaum                    1992   10.57
8212060901882  Database Principles                       5  Harry Silberschatz                            1997   82.99
2444230140724  Java Security                             6  Charlie Miller                                2009    8.39
0074427330330  Operating Basics                          4  Harry Kurose                                  1997    9.53
7124672708134  Operating Systems                         1  Charlie Kurose & Irene Lee                    1995   16.76
1584300182287  Understanding Java Problems               7  Jenny Miller                                  1998    8.88
6462295006508  Developing Web Principles                 6  Irene Miller                                  2003   97.22
6379896612980  Web Basics                                1  Harry Null & David Patterson                  2009   62.91
0125176847386  Developing Python Security                9  Frank Silberschatz                            2008   49.93
8152562466662  Introduction to Python Basics             6  Alice Silberschatz                            2018   65.19
5196486039479  Developing Database Concepts              9  Eve Kurose                                    1994   95.32
2084958080179  Understanding Computer Concepts           7  Alice Patterson & Eve Silberschatz            2007   67.33
0250432400464  Game Principles                           5  Irene Quicksilver & Frank Miller              2013    7.26
0323585349114  Hacking Operating Concepts                1  Jenny Silberschatz                            1991   95.70
3603209197950  Introduction to Operating Concepts        9  Frank Quicksilver & Bob O'Reilly              2001   20.83
7724041045424  Computer Problems                         1  Irene Lee & Frank Ross                        2003   35.69
2700605860595  Diving into Secure Security               4  Charlie Silberschatz                          2011   70.24
5815313879139  Hacking Python Problems                   8  Alice Silberschatz                            2009   79.26
6101091422831  Computer Concepts                         2  Jenny Ross & Bob Silberschatz                 2000   18.50
4301380219954  Java Concepts                             6  Alice Ross & Eve Tanenbaum                    2008   79.68
7834814916596  Python Problems                           8  David Ross & Bob Silberschatz                 2008   61.17
8235010453811  Database Networks                         4  Alice Patterson                               2018   58.93
4020499767936  Computer Principles                       2  Gerry Tanenbaum & Gerry Kurose                2012   59.76
4166277394259  Python Networks                           1  Alice Tanenbaum                               2016   24.92
8728070419455  Hacking Operating Problems                9  Alice Miller                                  2012    3.43
2043196457770  C++ Systems                               6  David Patterson & Eve Lee                     2016   83.10
